CRIMETYPE,DATETIME,CASENUMBER,DESCRIPTION,POLICEBEAT,ADDRESS,CITY,STATE,Location
NARCOTICS,03/25/2025 11:45:00 AM,25-013299,VIOLATE/ETC EMPLOYEE WAGE/ETC LAWS,02X,900 MARKET ST,Oakland,CA,POINT (-122.28163 37.80378)
MISDEMEANOR ASSAULT,02/19/2025 09:25:00 AM,25-007819,EXHIBIT FIREARM,05X,889 W GRAND AV,Oakland,CA,POINT (-122.27855 37.81405)
STOLEN VEHICLE,02/16/2025 11:00:00 PM,25-007510,VEHICLE THEFT - AUTO,27X,2107 45TH AV,Oakland,CA,POINT (-122.20853 37.77587)
BURG - RESIDENTIAL,03/16/2025 05:14:00 PM,25-011971,BURGLARY-NO FORCE,19X,1414 16TH AV,Oakland,CA,POINT (-122.24387 37.78865)
RECOVERED O/S STOLEN,03/31/2025 01:00:00 AM,25-014162,POS/ETC BAD/ETC CHECK/ETC,35X,8930 BANCROFT AV,Oakland,CA,POINT (-122.16585 37.75396)
FELONY ASSAULT,03/15/2025 10:24:00 AM,25-011803,SHOOT AT INHABITED DWELLING/VEHICLE/ETC,30Y,78TH AV & BANCROFT AV,Oakland,CA,POINT (-122.17402 37.76336)
DOMESTIC VIOLENCE,01/30/2025 05:00:00 PM,25-004796,DAMAGE/DESTROY ANY WIRELESS COMMUNICATION DEVICE,30X,6700 FLORA ST,Oakland,CA,POINT (-122.18964 37.76311)
MISDEMEANOR ASSAULT,03/19/2025 06:00:00 AM,25-012375,INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT,33X,9415 INTERNATIONAL BLVD,Oakland,CA,POINT (-122.17243 37.74686)
STOLEN VEHICLE,03/12/2025 05:30:00 AM,25-011218,VEHICLE THEFT - AUTO,15X,575 HADDON RD,Oakland,CA,POINT (-122.24565 37.80566)
STOLEN VEHICLE,03/07/2025 10:00:00 PM,25-010565,VEHICLE THEFT - AUTO,14Y,763 WALKER AV,Oakland,CA,POINT (-122.24555 37.81345)
